slug,name,re,cl_0,cl_alpha_2d,cl_max,alpha_stall,cd_0,cm_ac,cd_min,alpha_minD_deg,k_drag,thickness_pct,camber_pct
hq158-il,HQ 1.5/8 AIRFOIL,500000,0.2006,5.942,1.0400,9.25,0.00567,-0.0425,0.005420,1.2500,0.000382,7.96,1.49
hq1585-il,HQ 1.5/8.5 AIRFOIL,500000,0.2016,5.975,1.1625,10.50,0.00614,-0.0452,0.005790,2.0000,0.000403,8.56,1.50
hq159-il,HQ 1.5/9 AIRFOIL,500000,0.2067,5.989,1.1568,10.50,0.00609,-0.0444,0.005900,2.0000,0.000361,8.97,1.50
hq159b-il,HQ 1.5/9 B AIRFOIL,500000,0.2021,5.926,1.1439,10.25,0.00611,-0.0440,0.005970,2.2500,0.000446,8.95,1.50
hq17-il,HORSTMANN AND QUAST HQ-17/14.38 AIRFOIL (MEASURED),500000,0.5504,5.448,1.2964,15.25,0.01024,-0.1201,0.008630,-1.7500,0.000115,15.22,4.51
hq2010-il,HQ 2.0/10 AIRFOIL,500000,0.2729,5.977,1.2770,12.25,0.00650,-0.0594,0.006450,2.7500,0.000250,9.97,2.00
hq2012-il,HQ 2.0/12 AIRFOIL,500000,0.2688,6.025,1.3764,14.50,0.00719,-0.0585,0.007140,-1.5000,0.000086,11.97,1.99
hq208-il,HQ 2.0/8 AIRFOIL,500000,0.2738,5.887,1.1295,10.00,0.00574,-0.0595,0.005420,1.2500,0.000520,7.98,1.99
hq209-il,HQ 2.0/9 AIRFOIL,500000,0.2743,5.937,1.2280,11.25,0.00616,-0.0595,0.005890,2.0000,0.000309,8.97,1.99
hq2090sm-il,HQ-2.0/9  9.0%   smoothed,500000,0.2678,5.943,1.2187,11.25,0.00616,-0.0585,0.005960,2.2500,0.000367,8.97,1.99
hq2195-il,HQ 2.1/9.5 AIRFOIL,500000,0.2991,5.903,1.3237,12.50,0.00643,-0.0676,0.006350,2.7500,0.000294,9.49,2.10
hq2510-il,HQ 2.5/10 AIRFOIL,500000,0.3408,5.904,1.2517,11.50,0.00658,-0.0747,0.006480,2.7500,0.000329,9.96,2.50
hq2511-il,HQ 2.5/11 AIRFOIL,500000,0.3438,5.949,1.3000,13.25,0.00695,-0.0753,0.006910,-1.5000,0.000121,11.00,2.50
hq2512-il,HQ 2.5/12 AIRFOIL,500000,0.3391,5.974,1.3331,13.25,0.00727,-0.0740,0.007160,-1.7500,0.000089,11.96,2.50
hq258-il,HQ 2.5/8 AIRFOIL,500000,0.3402,5.768,1.0969,8.00,0.00580,-0.0747,0.005450,1.0000,0.000343,7.97,2.50
hq259-il,HQ 2.5/9 AIRFOIL,500000,0.3411,5.836,1.1634,9.00,0.00621,-0.0749,0.005920,1.7500,0.000308,8.97,2.50
hq2590sm-il,HQ 2.5/9.0 smoothed by Eppler,500000,0.3577,5.857,1.3548,12.50,0.00635,-0.0812,0.006110,2.5000,0.000309,9.03,2.53
hq259b-il,HQ 2.5/9 B AIRFOIL,500000,0.3576,5.860,1.3555,12.25,0.00635,-0.0812,0.006110,2.5000,0.000309,9.03,2.53
