slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
e212-il,E212  (10.55%),10.56,2.93,YES,1.43,0.790
e214-il,E214  (11.1%),11.10,4.03,YES,1.52,0.789
e216-il,E216  (10.4%),10.42,5.17,YES,2.80,0.723
e220-il,E220  (11.48%),11.46,2.46,no,0.03,0.986
e221-il,E221  (9.39%),9.38,1.83,no,0.02,0.987
e222-il,E222  (10.17%),10.17,2.52,YES,0.77,0.842
e224-il,E224  (10.17%),10.17,1.75,YES,0.39,0.848
e226-il,E226  (10.19%),10.18,0.99,no,0.09,0.889
e230-il,E230  (9.96%),9.95,0.79,no,0.01,0.987
e231-il,E231,12.33,2.46,no,0.16,0.945
e374-il,E374,10.91,2.25,no,0.03,0.986
e385-il,E385  (8.41%),8.42,5.74,YES,2.69,0.642
e387-il,E387,9.07,3.80,YES,0.76,0.665
e392-il,E392  (10.15%),10.15,3.84,YES,0.98,0.756
e423-il,E423,12.52,10.03,YES,5.47,0.543
e471-il,E471  (6.25%),6.26,4.73,YES,2.62,0.645
e474-il,E474  (14.09%),14.08,0.00,no,0.06,0.968
e475-il,E475  (15.01%),15.00,0.00,no,0.11,0.967
e591-il,E591,15.66,6.48,YES,3.27,0.710
e61-il,E61  (5.64%),5.67,6.69,YES,4.57,0.569
e62-il,E62  (5.62%),5.64,5.38,YES,3.28,0.587
e63-il,E63  (4.25%),4.27,5.38,YES,4.05,0.579
e64-il,E64  (8.45%),8.44,3.32,YES,1.12,0.754
e71-il,E71  (5.15%),5.16,4.64,YES,3.07,0.644
eh0009-il,EH 0.0/9.0,9.00,0.00,no,0.06,0.922
eh1090-il,EH 1.0/9.0,8.99,1.00,no,0.04,0.965
eh1590-il,EH 1.5/9.0,8.99,1.49,no,0.04,0.965
eh2010-il,EH 2.0/10,10.08,2.00,no,0.04,0.976
eh2012-il,EH 2.0/12,11.99,1.99,no,0.05,0.965
eh2070-il,EH 2.0/7.0,7.00,1.99,no,0.04,0.232
eh2510-il,EH 2.5/10,9.99,2.49,no,0.02,0.720
eh3012-il,EH 3.0/12,11.98,3.00,no,0.00,0.970
e1098-il,EPPLER 1098 AIRFOIL,18.94,3.73,YES,1.60,0.822
e1200-il,EPPLER 1200 AIRFOIL,16.94,3.45,YES,1.25,0.866
e1210-il,EPPLER 1210 AIRFOIL,15.85,5.20,YES,1.19,0.637
e1211-il,EPPLER 1211 AIRFOIL,18.02,4.44,YES,1.42,0.682
e1213-il,EPPLER 1213 AIRFOIL,17.39,2.06,no,0.18,0.754
e1214-il,EPPLER 1214 AIRFOIL,19.77,2.13,no,0.15,0.749
e1230-il,EPPLER 1230 AIRFOIL,17.44,3.61,YES,0.45,0.740
e1233-il,EPPLER 1233 AIRFOIL,18.93,4.32,YES,1.28,0.854
e266-il,EPPLER 266 AIRFOIL,17.32,3.20,YES,0.85,0.905
e297-il,EPPLER 297 AIRFOIL,11.39,0.05,YES,0.32,0.887
e325-il,EPPLER 325 AIRFOIL,12.63,1.77,no,0.10,0.969
e326-il,EPPLER 326 AIRFOIL,12.87,2.18,no,0.16,0.945
e327-il,EPPLER 327 AIRFOIL,13.12,2.60,no,0.23,0.944
e328-il,EPPLER 328 AIRFOIL,13.34,3.05,YES,0.30,0.943
e329-il,EPPLER 329 AIRFOIL,13.54,3.55,YES,0.39,0.912
e330-il,EPPLER 330 AIRFOIL,11.03,2.18,no,0.04,0.986
e331-il,EPPLER 331 AIRFOIL,11.27,2.60,no,0.06,0.969
e332-il,EPPLER 332 AIRFOIL,11.53,3.06,no,0.09,0.969
e333-il,EPPLER 333 AIRFOIL,11.75,3.56,no,0.13,0.968
e334-il,EPPLER 334 AIRFOIL,11.94,4.04,no,0.18,0.945
e335-il,EPPLER 335 AIRFOIL,12.59,2.36,no,0.10,0.969
e336-il,EPPLER 336 AIRFOIL,12.80,2.80,no,0.13,0.968
e337-il,EPPLER 337 AIRFOIL,13.11,3.27,no,0.17,0.967
e338-il,EPPLER 338 AIRFOIL,13.30,3.75,no,0.22,0.943
e339-il,EPPLER 339 AIRFOIL,13.54,4.22,no,0.28,0.942
e340-il,EPPLER 340 AIRFOIL,13.71,2.60,no,0.13,0.968
e341-il,EPPLER 341 AIRFOIL,13.99,3.05,no,0.17,0.967
e342-il,EPPLER 342 AIRFOIL,14.26,3.51,no,0.21,0.967
e343-il,EPPLER 343 AIRFOIL,14.47,3.98,no,0.26,0.966
e344-il,EPPLER 344 AIRFOIL,14.72,4.44,YES,0.32,0.941
e360-il,EPPLER 360 AIRFOIL,12.23,1.54,no,0.11,0.918
e361-il,EPPLER 361 AIRFOIL,12.11,1.65,no,0.03,0.986
e376-il,EPPLER 376 AIRFOIL,2.48,8.93,YES,8.89,0.326
e377m-il,EPPLER 377 (MODIFIED) AIRFOIL,3.77,9.13,YES,9.18,0.326
e377-il,EPPLER 377 AIRFOIL,3.87,8.74,YES,8.49,0.372
e378-il,EPPLER 378 AIRFOIL,4.08,8.00,YES,7.68,0.385
e379-il,EPPLER 379 AIRFOIL,2.24,7.99,YES,7.48,0.342
e393-il,EPPLER 393 AIRFOIL,11.53,4.00,YES,1.36,0.794
e395-il,EPPLER 395 AIRFOIL,12.29,5.25,YES,2.18,0.733
e396-il,EPPLER 396 AIRFOIL,13.06,5.44,YES,2.07,0.732
e397-il,EPPLER 397 AIRFOIL,13.51,5.31,YES,2.00,0.731
e398-il,EPPLER 398 AIRFOIL,14.16,5.30,YES,1.95,0.731
e399-il,EPPLER 399 AIRFOIL,14.83,5.14,YES,1.99,0.778
e403-il,EPPLER 403 AIRFOIL,14.96,3.31,YES,2.17,0.816
e407-il,EPPLER 407 AIRFOIL,14.43,3.50,YES,2.17,0.816
e417-il,EPPLER 417 AIRFOIL,14.19,3.18,YES,2.16,0.815
e420-il,EPPLER 420 AIRFOIL,14.34,10.70,YES,5.68,0.535
e421-il,EPPLER 421 AIRFOIL,14.54,8.72,YES,3.89,0.498
e422-il,EPPLER 422 AIRFOIL,14.00,7.16,YES,2.55,0.526
e426-il,EPPLER 426 AIRFOIL,10.83,0.73,YES,0.36,0.809
e428-il,EPPLER 428 AIRFOIL,11.13,0.60,YES,0.36,0.809
e431-il,EPPLER 431 AIRFOIL,15.12,4.23,YES,1.11,0.867
e432-il,EPPLER 432 AIRFOIL,15.98,4.44,YES,1.10,0.866
e433-il,EPPLER 433 AIRFOIL,14.22,3.98,YES,1.14,0.867
e434-il,EPPLER 434 AIRFOIL,13.33,4.32,YES,0.54,0.911
e435-il,EPPLER 435 AIRFOIL,16.23,4.37,YES,1.83,0.818
e472-il,EPPLER 472 AIRFOIL,12.10,0.00,no,0.02,0.986
e473-il,EPPLER 473 AIRFOIL,16.19,0.00,no,0.03,0.985
e479-il,EPPLER 479 AIRFOIL,16.57,0.00,no,0.17,0.803
e485-il,EPPLER 485 AIRFOIL,12.52,1.15,no,0.22,0.917
e49-il,EPPLER 49 AIRFOIL,7.23,7.82,YES,3.44,0.448
e502-il,EPPLER 502 AIRFOIL,15.66,1.54,YES,0.38,0.879
e520-il,EPPLER 520 AIRFOIL,15.01,0.07,YES,0.59,0.843
e521-il,EPPLER 521 AIRFOIL,13.77,0.07,YES,0.47,0.883
e540-il,EPPLER 540 AIRFOIL,16.88,1.61,YES,1.06,0.866
e541-il,EPPLER 541 AIRFOIL,16.63,1.68,YES,0.96,0.904
e542-il,EPPLER 542 AIRFOIL,16.86,1.92,YES,0.86,0.905
e543-il,EPPLER 543 AIRFOIL,17.20,1.88,YES,0.97,0.868
e544-il,EPPLER 544 AIRFOIL,17.50,1.86,YES,1.08,0.868
e545-il,EPPLER 545 AIRFOIL,17.45,1.82,YES,1.22,0.826
e546-il,EPPLER 546 AIRFOIL,16.27,1.77,YES,0.99,0.870
e547-il,EPPLER 547 AIRFOIL,17.39,2.08,YES,0.92,0.870
e548-il,EPPLER 548 AIRFOIL,17.38,2.24,YES,0.97,0.870
e549-il,EPPLER 549 AIRFOIL,18.08,2.10,YES,1.20,0.827
e550-il,EPPLER 550 AIRFOIL,18.20,2.25,YES,1.25,0.827
e551-il,EPPLER 551 AIRFOIL,18.24,2.82,YES,1.43,0.779
e552-il,EPPLER 552 AIRFOIL,18.41,2.59,YES,1.49,0.779
e553-il,EPPLER 553 AIRFOIL,18.11,2.98,YES,1.67,0.776
e554-il,EPPLER 554 AIRFOIL,18.23,2.67,YES,1.73,0.776
e555-il,EPPLER 555 AIRFOIL,16.02,2.60,YES,1.85,0.777
e556-il,EPPLER 556 AIRFOIL,16.00,3.12,YES,2.11,0.773
e557-il,EPPLER 557 AIRFOIL,15.97,3.68,YES,2.38,0.769
e558-il,EPPLER 558 AIRFOIL,16.03,3.56,YES,1.54,0.734
e559-il,EPPLER 559 AIRFOIL,16.03,4.21,YES,1.98,0.728
e560-il,EPPLER 560 AIRFOIL,16.07,4.86,YES,2.46,0.721
e561-il,EPPLER 561 AIRFOIL,16.90,5.11,YES,2.33,0.721
e562-il,EPPLER 562 AIRFOIL,15.02,3.88,YES,1.96,0.728
e58-il,EPPLER 58 AIRFOIL,5.60,6.45,YES,4.41,0.600
e580-il,EPPLER 580 AIRFOIL,16.05,4.08,YES,2.31,0.818
e582-il,EPPLER 582 AIRFOIL,14.74,4.27,YES,1.02,0.905
e583-il,EPPLER 583 AIRFOIL,16.48,4.49,YES,0.85,0.905
e584-il,EPPLER 584 AIRFOIL,16.61,4.52,YES,0.82,0.903
e585-il,EPPLER 585 AIRFOIL,14.61,4.27,YES,1.07,0.869
e587-il,EPPLER 587 AIRFOIL,16.65,4.15,YES,1.77,0.860
e59-il,EPPLER 59 AIRFOIL,5.60,5.20,YES,3.39,0.600
e593-il,EPPLER 593 AIRFOIL,11.30,4.67,YES,0.55,0.399
e598-il,EPPLER 598 AIRFOIL,11.14,4.53,YES,0.49,0.399
e603-il,EPPLER 603 AIRFOIL,18.98,3.30,YES,1.44,0.861
e604-il,EPPLER 604 AIRFOIL,18.80,3.33,YES,1.55,0.860
e625-il,EPPLER 625 AIRFOIL,13.00,2.90,no,0.00,0.980
e635-il,EPPLER 635 AIRFOIL,11.63,2.88,no,0.02,0.986
e636-il,EPPLER 636 AIRFOIL,11.88,3.18,no,0.02,0.986
e637-il,EPPLER 637 AIRFOIL,12.10,3.55,no,0.02,0.986
e638-il,EPPLER 638 AIRFOIL,12.35,4.42,no,0.02,0.986
e639-il,EPPLER 639 AIRFOIL,12.56,4.80,no,0.03,0.986
e642-il,EPPLER 642 AIRFOIL,15.07,3.12,YES,0.59,0.910
e654-il,EPPLER 654 AIRFOIL,17.21,4.83,YES,1.41,0.864
e655-il,EPPLER 655 AIRFOIL,17.32,4.01,YES,1.10,0.866
e656-il,EPPLER 656 AIRFOIL,16.21,4.82,YES,0.92,0.906
e657-il,EPPLER 657 AIRFOIL,15.57,4.66,YES,0.93,0.906
e66-il,EPPLER 66 AIRFOIL,10.12,3.98,YES,1.39,0.743
e664-il,EPPLER 664 AIRFOIL,16.60,2.76,YES,1.14,0.903
e668-il,EPPLER 668 AIRFOIL,13.90,3.98,YES,1.02,0.869
e67-il,EPPLER 67 AIRFOIL,11.63,3.65,YES,1.04,0.791
e678-il,EPPLER 678 AIRFOIL,15.08,5.22,YES,1.73,0.860
e68-il,EPPLER 68 AIRFOIL,13.10,3.34,YES,0.76,0.835
e682-il,EPPLER 682 AIRFOIL,15.30,3.03,YES,0.72,0.907
e694-il,EPPLER 694 AIRFOIL,15.43,4.96,YES,1.72,0.896
e715-il,EPPLER 715 AIRFOIL,15.04,2.80,YES,0.94,0.656
e748-il,EPPLER 748 AIRFOIL,19.71,4.58,YES,2.85,0.763
e793-il,EPPLER 793 AIRFOIL,15.63,4.04,YES,1.58,0.783
e817-il,EPPLER 817 HYDROFOIL AIRFOIL,10.98,2.88,YES,1.50,0.788
e818-il,EPPLER 818 HYDROFOIL AIRFOIL,9.37,2.79,YES,1.52,0.792
e855-il,EPPLER 855 AIRFOIL,15.72,3.78,YES,1.42,0.782
e856-il,EPPLER 856 AIRFOIL,18.15,4.25,YES,1.48,0.776
e857-il,EPPLER 857 AIRFOIL,20.31,4.69,YES,1.57,0.769
e858-il,EPPLER 858 AIRFOIL,22.69,4.85,YES,1.59,0.764
e862-il,EPPLER 862 STRUT AIRFOIL,32.37,0.00,YES,0.31,0.779
e863-il,EPPLER 863 STRUT AIRFOIL,35.73,0.00,no,0.12,0.776
e864-il,EPPLER 864 STRUT AIRFOIL,38.83,0.06,no,0.01,0.940
e874-il,EPPLER 874 HYDROFOIL AIRFOIL,7.90,0.95,no,0.02,0.992
e904-il,EPPLER 904 AIRFOIL,9.00,1.34,no,0.16,0.935
e908-il,EPPLER 908 AIRFOIL,9.00,2.77,YES,0.76,0.832
e1212-il,EPPLER E1212 AIRFOIL,17.68,3.21,YES,0.75,0.745
e1212mod-il,EPPLER E1212MOD AIRFOIL,17.72,2.61,YES,0.45,0.750
e662-il,EPPLER E662 AIRFOIL,15.02,4.08,YES,1.23,0.902
e836-il,EPPLER E836 HYDROFOIL AIRFOIL,12.64,0.00,no,0.21,0.886
e837-il,EPPLER E837 HYDROFOIL AIRFOIL,16.11,0.00,YES,0.36,0.843
e838-il,EPPLER E838 HYDROFOIL AIRFOIL,18.37,0.00,YES,0.46,0.878
e850-il,EPPLER E850 AIRFOIL,7.98,1.83,YES,0.85,0.804
e851-il,EPPLER E851 AIRFOIL,9.02,2.35,YES,0.99,0.800
e852-il,EPPLER E852 AIRFOIL,10.07,2.79,YES,1.12,0.797
e853-il,EPPLER E853 AIRFOIL,11.60,3.05,YES,1.36,0.792
e854-il,EPPLER E854 AIRFOIL,13.41,3.25,YES,1.36,0.788
ea61009-il,EPPLER EA 6(-1)-009 AIRFOIL,9.00,0.00,YES,0.36,0.900
ea61012-il,EPPLER EA 6(-1)-012 AIRFOIL,12.00,0.00,YES,0.42,0.800
ea81006-il,EPPLER EA 8(-1)-006 AIRFOIL,6.00,0.00,no,0.01,0.950
ec863914-il,EPPLER EC 86(-3)-914 AIRFOIL,14.25,4.39,YES,2.76,0.842
ste87391-il,EPPLER STE 87(-3)-914 AIRFOIL,14.56,4.42,YES,1.47,0.860
ste87151-il,EPPLER STE 871-514 AIRFOIL,13.93,2.64,YES,1.08,0.867
stf86361-il,EPPLER STF 863-615 AIRFOIL,14.65,4.56,YES,1.98,0.819
esa40-il,ESA40,10.72,2.01,no,0.03,0.991
eh1070-il,Eh 1.0/7.0,7.00,1.00,no,0.03,0.976
eiffel10-il,Eiffel 10 (Wright) - 1903 Wright Flyer airfoil,2.64,6.22,YES,5.27,0.400
eiffel371-il,Eiffel 371 (Monge),14.40,7.27,YES,0.65,0.600
eiffel385-il,Eiffel 385 (S.T. Ae),13.35,7.54,YES,1.72,0.600
eiffel428-il,Eiffel 428 (Bleriot),8.95,5.10,YES,0.80,0.500
eiffel430-il,Eiffel 430 (Lachassgne),9.69,6.30,YES,1.60,0.300
fauvel-il,FAUVEL 14% AIRFOIL,13.99,2.54,no,0.00,0.300
fx38153-il,FX 38-153 AIRFOIL,15.54,2.14,YES,1.36,0.896
fx601001-il,FX 60-100 (126) AIRFOIL,10.12,3.58,YES,2.27,0.691
fx60100-il,FX 60-100 AIRFOIL,10.00,3.56,YES,2.13,0.721
fx60157-il,FX 60-157 AIRFOIL,15.67,2.72,YES,1.73,0.876
fx60160-il,FX 60-160 AIRFOIL,15.60,3.08,YES,1.54,0.800
fx60177-il,FX 60-177 AIRFOIL,17.72,2.72,YES,1.91,0.876
fx61140-il,FX 61-140 AIRFOIL,13.98,2.46,YES,2.06,0.854
fx61147-il,FX 61-147 AIRFOIL,14.77,3.18,YES,2.01,0.830
fx61163-il,FX 61-163 AIRFOIL,16.35,2.56,YES,1.84,0.854
fx61168-il,FX 61-168 AIRFOIL,16.81,2.99,YES,1.94,0.854
fx61184-il,FX 61-184 AIRFOIL,18.37,3.09,YES,2.10,0.830
fx62k153-il,FX 62-K-153/20 AIRFOIL,15.27,4.08,YES,2.16,0.830
fx63100-il,FX 63-100 AIRFOIL,9.93,4.34,YES,2.41,0.804
fx63110-il,FX 63-110 AIRFOIL,11.00,4.34,YES,2.42,0.804
fx63120-il,FX 63-120 AIRFOIL,12.01,5.24,YES,2.89,0.804
fx63137sm-il,FX 63-137 13.7% smoothed,13.67,5.95,YES,3.32,0.750
fx63143-il,FX 63-143 AIRFOIL,14.32,3.09,YES,0.65,0.948
fx63145-il,FX 63-145 AIRFOIL,14.47,4.04,YES,2.06,0.804
fx63147-il,FX 63-147 AIRFOIL,14.75,3.13,YES,1.58,0.916
fx63158-il,FX 63-158 AIRFOIL,15.81,3.77,YES,2.29,0.854
fx6617a2-il,FX 66-17AII-182 AIRFOIL,18.20,3.80,YES,1.26,0.778
fx66182-il,FX 66-182 AIRFOIL,18.20,3.80,YES,1.26,0.778
fx66h60-il,FX 66-H-60,6.02,1.68,no,0.06,0.933
fx66h80-il,FX 66-H-80,8.00,2.47,no,0.01,0.999
fx66s161-il,FX 66-S-161 AIRFOIL,16.12,3.91,YES,1.21,0.750
fx66s171-il,FX 66-S-171 AIRFOIL,17.11,3.88,YES,1.24,0.750
fx66s196-il,FX 66-S-196 AIRFOIL,19.63,3.78,YES,1.41,0.804
fx66196v-il,FX 66-S-196 V1 AIRFOIL,19.57,4.01,YES,1.40,0.804
fx67k150-il,FX 67-K-150/17 AIRFOIL,14.98,4.83,YES,0.65,0.876
fx67k170-il,FX 67-K-170/17 AIRFOIL,17.01,5.07,YES,0.69,0.876
fx68h120-il,FX 68-H-120,11.81,2.31,no,0.00,0.000
fx69pr281-il,FX 69-PR-281,28.13,5.61,YES,2.68,0.750
fx711520-il,FX 71-L-150/20 AIRFOIL,15.00,0.00,YES,0.96,0.804
fx711525-il,FX 71-L-150/25 AIRFOIL,15.00,0.00,YES,0.75,0.778
fx711530-il,FX 71-L-150/30 AIRFOIL,15.00,0.00,YES,0.64,0.778
fx71l150-il,FX 71-L-150/30 AIRFOIL,15.00,0.00,YES,0.64,0.778
fx72ls160-il,FX 72-LS-160,16.01,8.24,YES,1.48,0.629
fx73cl1152-il,FX 73-CL1-152,15.22,6.09,YES,2.15,0.598
fx73cl2152-il,FX 73-CL2-152,15.22,6.63,YES,4.02,0.721
fx73cl3152-il,FX 73-CL3-152,15.22,8.01,YES,4.70,0.661
fx73k170-il,FX 73-K-170/22,17.08,4.59,YES,1.71,0.804
fx74130wp1-il,FX 74-130 WP1,13.01,3.82,YES,0.96,0.897
fx74cl6140-il,FX 74-CL6-140,14.05,7.14,YES,2.35,0.778
fx74modsm-il,FX 74-Cl5-140 MOD  (smoothed),13.08,9.72,YES,5.31,0.646
fx75vg166-il,FX 75-VG-166/22,16.73,2.43,YES,1.27,0.876
fx76mp120-il,FX 76-MP-120,12.11,7.57,YES,2.82,0.629
fx76mp140-il,FX 76-MP-140,14.11,7.12,YES,2.12,0.778
fx76mp160-il,FX 76-MP-160,16.15,6.06,YES,1.82,0.854
fx77w121-il,FX 77-W-121,12.10,4.62,no,0.07,0.533
fx77w270-il,FX 77-W-270,27.12,4.34,YES,1.47,0.830
fx77w270s-il,FX 77-W-270S,27.11,4.32,YES,0.59,0.750
fx78k140a20-il,FX 78-K-140 A/20,14.09,4.38,YES,0.57,0.916
fx78k140-il,FX 78-K-140/20,14.09,4.38,no,0.00,0.876
fx78k150-il,FX 78-K-150/20,15.11,4.33,YES,0.51,0.916
fx78k161-il,FX 78-K-161,16.16,2.84,YES,0.57,0.916
fx78pk188-il,FX 78-PK-188/20,18.81,2.37,YES,0.81,0.876
fx79l100-il,FX 79-L-100,10.07,0.00,no,0.21,0.830
fx79l120-il,FX 79-L-120,12.07,0.00,no,0.26,0.830
fx79w151a-il,FX 79-W-151 A,15.16,3.78,no,0.02,0.983
fx79w660a-il,FX 79-W-660A,66.39,2.32,YES,0.52,0.804
fx83w108-il,FX 83-W-108,10.87,4.24,YES,1.62,0.691
fx83w160-il,FX 83-W-160,16.05,3.89,YES,1.60,0.778
fx83w227-il,FX 83-W-227,22.64,3.44,no,0.11,0.830
fx84w097-il,FX 84-W-097,9.74,2.82,no,0.19,0.916
fx84w127-il,FX 84-W-127,12.75,3.74,YES,0.40,0.897
fx84w140-il,FX 84-W-140,14.08,4.21,YES,0.50,0.897
fx84w150-il,FX 84-W-150,14.99,4.28,YES,0.52,0.897
fx84w175-il,FX 84-W-175,17.61,4.37,YES,0.64,0.897
fx84w218-il,FX 84-W-218,21.96,3.23,YES,0.63,0.897
fxl142k-il,FX LIII-142 K 25 AIRFOIL,14.20,0.00,YES,0.43,0.830
fxs02196-il,FX S 02-196 AIRFOIL,19.59,3.74,YES,1.64,0.804
fxs21158-il,FX S 02/1-158 AIRFOIL,15.78,3.50,YES,1.83,0.750
fxs03182-il,FX S 03-182 AIRFOIL,18.21,2.85,YES,1.55,0.854
fx60100sm-il,FX60-100 10.0% smoothed,9.98,3.55,YES,2.11,0.750
fx74cl5140-il,FX74_CL5_140,14.05,9.94,YES,4.69,0.721
fg1-il,Fage & Collins 1,8.17,4.08,no,0.00,0.000
fg2-il,Fage & Collins 2,8.16,4.08,no,0.00,0.000
fg3-il,Fage & Collins 3,10.14,5.07,no,0.00,0.000
fg4-il,Fage & Collins 4,12.70,6.35,no,0.00,0.000
falcon-il,Falcon,13.68,1.57,no,0.05,0.931
geminism-il,GEMINI (smoothed),15.38,2.20,no,0.05,0.950
giiia-il,GIII BL0 AIRFOIL,11.01,0.75,no,0.00,1.000
giiie-il,GIII BL126 AIRFOIL,8.78,1.19,no,0.00,0.000
giiif-il,GIII BL145 AIRFOIL,8.26,1.30,no,0.00,0.950
giiig-il,GIII BL167 AIRFOIL,8.29,1.30,no,0.00,0.950
giiih-il,GIII BL207 AIRFOIL,8.32,1.30,no,0.00,0.800
giiii-il,GIII BL288 AIRFOIL,8.45,1.33,no,0.00,0.750
giiij-il,GIII BL332 AIRFOIL,8.49,1.39,no,0.00,0.850
giiik-il,GIII BL369 AIRFOIL,8.53,1.50,no,0.00,0.800
giiil-il,GIII BL387 AIRFOIL,8.55,1.58,no,0.00,0.850
giiim-il,GIII BL430 AIRFOIL,8.51,1.86,no,0.03,0.249
giiib-il,GIII BL45 AIRFOIL,10.44,0.81,no,0.00,1.000
giiin-il,GIII BL450 AIRFOIL,8.42,2.08,no,0.15,0.249
giiic-il,GIII BL75 AIRFOIL,9.93,0.92,no,0.00,1.000
giiid-il,GIII BL86 AIRFOIL (modified line 31),9.71,0.97,no,0.00,1.000
gm15sm-il,GM15 (smoothed),6.74,4.76,YES,3.29,0.569
goe100-il,GOE 100 (SOPWITH) AIRFOIL,6.57,3.59,YES,1.08,0.400
goe101-il,GOE 101 AIRFOIL,6.90,3.96,YES,1.20,0.500
goe10k-il,GOE 10K AIRFOIL,3.85,1.42,no,0.00,0.700
goe113-il,GOE 113 AIRFOIL,6.65,3.09,no,0.20,0.600
goe114-il,GOE 114 (MVA MK.1) AIRFOIL,9.55,3.50,YES,1.35,0.600
goe115-il,GOE 115 (MVA MK.2) AIRFOIL,9.71,3.73,YES,1.34,0.600
goe116-il,GOE 116 (MVA MK.3) AIRFOIL,9.32,4.08,YES,1.26,0.500
goe117-il,GOE 117 (MVA MK.4) AIRFOIL,9.00,4.57,YES,1.54,0.500
goe118-il,GOE 118 (MVA MK.7) AIRFOIL,8.64,5.73,YES,2.25,0.500
goe11k-il,GOE 11K AIRFOIL,7.45,2.74,no,0.00,0.900
goe121-il,GOE 121 (MVA H.1) AIRFOIL,6.65,4.60,YES,2.71,0.400
goe122-il,GOE 122 (MVA H.2) AIRFOIL,7.30,4.06,YES,1.11,0.400
goe123-il,GOE 123 AIRFOIL,5.40,5.70,YES,3.54,0.400
goe124-il,GOE 124 (MVA H.4) AIRFOIL,7.92,5.56,YES,2.64,0.500
goe12k-il,GOE 12K AIRFOIL,11.10,4.08,no,0.00,0.400
goe133-il,GOE 133 (MVA H.11) AIRFOIL,7.90,4.32,YES,1.05,0.500
goe134-il,GOE 134 (MVA H.12) AIRFOIL,9.45,4.10,no,0.00,0.200
goe137-il,GOE 137 (MVA H.15) AIRFOIL,8.59,4.42,YES,1.06,0.400
goe13k-il,GOE 13K AIRFOIL,14.80,5.45,no,0.00,0.400
goe14-il,GOE 14 AIRFOIL,9.90,6.93,YES,3.30,0.300
goe140-il,GOE 140 (MVA H.17) AIRFOIL,8.78,5.29,YES,1.86,0.400
goe142-il,GOE 142 (MVA H.19) AIRFOIL,6.16,3.85,YES,1.51,0.350
goe143-il,GOE 143 (MVA H.20) AIRFOIL,7.44,3.79,YES,1.27,0.400
goe144-il,GOE 144 (MVA H.21) AIRFOIL,7.31,4.72,YES,2.34,0.400
goe147-il,GOE 147 (MVA H.6) AIRFOIL,7.55,3.76,YES,1.81,0.400
goe14k-il,GOE 14K AIRFOIL,12.00,2.70,no,0.00,0.000
goe15-il,GOE 15 AIRFOIL,9.00,7.75,YES,4.33,0.299
goe155-il,GOE 155 (SSW D.1) AIRFOIL,7.02,5.28,YES,2.49,0.400
goe15k-il,GOE 15K AIRFOIL,15.00,3.38,no,0.00,0.000
goe164-il,GOE 164 (MVA MK.10) AIRFOIL,8.87,6.64,YES,3.98,0.500
goe165-il,GOE 165 (MVA MK.11) AIRFOIL,12.11,5.74,YES,3.94,0.599
goe167-il,GOE 167 (V.KARMAN PROP.2) AIRFOIL,10.09,4.54,YES,0.53,0.400
goe16k-il,GOE 16K AIRFOIL,18.15,4.08,no,0.00,0.400
goe173-il,GOE 173 (ALBATROS 6020) AIRFOIL,7.76,5.91,YES,2.65,0.400
goe174-il,GOE 174 (ALBATROS 5020) AIRFOIL,8.59,5.57,YES,2.24,0.400
goe176-il,GOE 176 (ALBATROS 7020) AIRFOIL,10.34,5.55,YES,2.71,0.500
goe177-il,GOE 177 AIRFOIL,7.70,5.06,YES,2.30,0.400
goe178-il,GOE 178 AIRFOIL,8.50,4.40,YES,1.60,0.500
goe180-il,GOE 180 (MVA H.26) AIRFOIL,8.67,4.44,YES,1.15,0.400
goe182-il,GOE 182 (MVA H.27) AIRFOIL,9.45,5.26,YES,2.72,0.500
goe184-il,GOE 184 (MVA H.29) AIRFOIL,8.30,5.29,YES,2.51,0.400
goe187-il,GOE 187 (SCHTTE-LANZ 2U10) AIRFOIL,8.28,4.84,YES,1.00,0.500
goe188-il,GOE 188 (SCHTTE-LANZ 3U10) AIRFOIL,8.94,4.39,no,0.00,0.950
goe190-il,GOE 190 (MVA MK.18) AIRFOIL,12.65,5.92,YES,4.07,0.599
goe195-il,GOE 195 AIRFOIL,8.60,5.10,YES,3.10,0.600
goe198-il,GOE 198 (L.F.G. 5294) AIRFOIL,7.77,6.52,YES,3.75,0.400
goe199-il,GOE 199 (L.F.G. 5406) AIRFOIL,7.33,5.18,YES,2.27,0.400
goe207-il,GOE 207 (AVIATIK V8) AIRFOIL,8.78,6.63,YES,3.43,0.300
goe210-il,GOE 210 (DAIMLER) AIRFOIL,6.63,4.34,YES,1.51,0.500
goe217-il,GOE 217 (MVA MK.12) AIRFOIL,18.99,6.32,YES,5.07,0.698
goe222-il,GOE 222 (MVA H.33) AIRFOIL,18.54,7.17,YES,3.21,0.699
goe223-il,GOE 223 (MVA H.34) AIRFOIL,18.81,5.70,YES,2.75,0.700
goe225-il,GOE 225 (MVA H.35) AIRFOIL,12.82,7.63,YES,4.85,0.599
goe226-il,GOE 226 (MVA H.36) AIRFOIL,13.88,8.08,YES,4.70,0.599
goe227-il,GOE 227 (MVA H.37) AIRFOIL,14.60,7.85,YES,4.30,0.600
goe228-il,GOE 228 (MVA H.38) AIRFOIL,17.88,7.00,YES,3.15,0.699
goe229-il,GOE 229 (MVA H.39) AIRFOIL,19.34,5.91,YES,2.80,0.700
