slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
usa51-il,USA 51 AIRFOIL,9.33,2.56,no,0.02,0.900
usa98-il,USA 98 AIRFOIL,14.30,6.60,YES,3.20,0.600
usa35b-il,USA-35B AIRFOIL,11.61,3.19,YES,0.45,0.600
usnps4-il,USNPS4 (smoothed),11.94,5.02,no,0.17,0.238
cootie-il,WACO COOTIE AIRFOIL,8.46,6.28,YES,2.20,0.400
waspsm-il,WASP (smoothed),9.35,2.98,YES,0.57,0.646
wb13535sm-il,WB-135/35  13.5%  smoothed,13.55,3.75,YES,0.88,0.650
wb140-il,WB-140/35/FB 14%,13.92,3.70,no,0.05,0.550
whitcomb-il,WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL,10.96,2.29,YES,2.74,0.850
fx049915-il,WORTMANN FX 049-915 AIRFOIL,14.72,5.82,no,0.00,0.983
fx05188-il,WORTMANN FX 05-188 AIRFOIL,18.82,2.62,YES,1.80,0.854
fx05191-il,WORTMANN FX 05-191 AIRFOIL,19.08,2.62,YES,1.52,0.897
fx05h126-il,WORTMANN FX 05-H-126 AIRFOIL,12.61,4.40,no,0.01,0.250
fx057816-il,WORTMANN FX 057-816,16.18,5.13,YES,0.64,0.933
fx08s176-il,WORTMANN FX 08-S-176 AIRFOIL,17.60,5.66,YES,0.75,0.933
fx082512-il,WORTMANN FX 082-512 AIRFOIL,11.80,4.16,YES,3.52,0.750
fx2-il,WORTMANN FX 2 AIRFOIL,20.45,3.77,YES,1.74,0.854
fx3-il,WORTMANN FX 3 AIRFOIL,19.98,4.16,YES,2.29,0.854
fx60126-il,WORTMANN FX 60-126 AIRFOIL,12.59,3.56,YES,2.14,0.750
fx601261-il,WORTMANN FX 60-126/1 AIRFOIL,12.60,3.96,YES,2.21,0.750
fx62k131-il,WORTMANN FX 62-K-131 AIRFOIL,13.09,3.89,YES,2.10,0.876
fx63137-il,WORTMANN FX 63-137 AIRFOIL,13.71,5.97,YES,3.36,0.750
fx66a175-il,WORTMANN FX 66-17A-175 AIRFOIL,17.52,4.16,YES,1.61,0.721
fx6617ai-il,WORTMANN FX 66-17AII-182 AIRFOIL (AS TESTED AT NASA),18.84,3.66,YES,1.23,0.798
fx69274-il,WORTMANN FX 69-274,27.41,3.19,YES,0.50,0.897
fx71089a-il,WORTMANN FX 71-089A AIRFOIL,8.94,0.00,no,0.01,0.990
fx71120-il,WORTMANN FX 71-120 AIRFOIL,11.99,0.00,no,0.03,0.990
fx72150a-il,WORTMANN FX 72-MS-150A AIRFOIL,15.01,8.34,YES,3.96,0.721
fx72150b-il,WORTMANN FX 72-MS-150B AIRFOIL,15.01,9.72,YES,5.03,0.691
fx73170-il,WORTMANN FX 73-170,17.09,4.37,YES,1.85,0.804
fx73170a-il,WORTMANN FX 73-170 A,17.11,5.64,YES,0.79,0.876
fx74080-il,WORTMANN FX 74-080,8.15,4.31,YES,0.76,0.854
fx75141-il,WORTMANN FX 75-141,14.13,3.39,YES,1.64,0.830
fx75193-il,WORTMANN FX 75-193,19.27,3.66,YES,2.01,0.830
fx76100-il,WORTMANN FX 76-100,10.07,0.00,no,0.01,0.996
fx76120-il,WORTMANN FX 76-120,12.07,0.00,no,0.01,0.996
fx77080-il,WORTMANN FX 77-080,8.05,0.00,no,0.01,0.996
fx77w153-il,WORTMANN FX 77-W-153 AIRFOIL,15.25,4.48,no,0.02,0.279
fx77w258-il,WORTMANN FX 77-W-258 AIRFOIL,26.12,4.34,YES,1.46,0.830
fx77w343-il,WORTMANN FX 77-W-343 AIRFOIL,34.38,4.70,YES,1.77,0.830
fx79k144-il,WORTMANN FX 79-K-144/17 AIRFOIL,14.39,2.81,YES,0.64,0.916
fx80080-il,WORTMANN FX 80-080,8.06,2.21,YES,0.62,0.854
fxlv152-il,WORTMANN FX L V-152 AIRFOIL,15.28,0.00,YES,0.52,0.830
fxm2-il,WORTMANN FX M2 AIRFOIL,8.40,4.78,YES,1.88,0.565
ys900-il,YS-900,9.01,0.00,no,0.11,0.977
ys915-il,YS-915,9.09,1.76,no,0.06,0.744
ys930-il,YS-930,9.09,3.03,YES,0.63,0.685
cr001sm-il,cr001sm,7.33,4.06,YES,1.68,0.646
davissm-il,davissm,5.87,5.91,YES,3.94,0.493
dh4009sm-il,dh4009sm,8.95,0.20,no,0.05,0.882
lrn1007-il,lrn1007,7.27,5.90,YES,2.38,0.590
