slug,name,re,cl_0,cl_alpha_2d,cl_max,alpha_stall,cd_0,cm_ac,cd_min,alpha_minD_deg,k_drag,thickness_pct,camber_pct
ag38-il,AG38,1000000,0.3495,6.173,1.5024,13.25,0.00515,-0.0447,0.004370,-1.0000,0.000147,7.04,3.53
ag44ct02r-il,AG44ct -02f,1000000,0.1984,6.263,1.4174,12.75,0.00441,-0.0322,0.004410,0.0000,0.000142,7.29,1.94
ag455ct02r-il,AG455ct -02f rot.,1000000,0.1786,6.313,1.4243,12.75,0.00436,-0.0286,0.004360,0.0000,0.000149,6.47,1.83
ag45c03-il,AG45c -03f,1000000,0.0857,6.359,1.4504,13.75,0.00614,-0.0295,0.004580,1.0000,0.000138,6.93,2.58
ag45ct02r-il,AG45ct -02f,1000000,0.1786,6.290,1.4006,12.75,0.00438,-0.0281,0.004380,0.0000,0.000148,6.90,1.85
ag46c03-il,AG46c -03f,1000000,0.0579,6.321,1.3832,13.25,0.00599,-0.0254,0.004260,1.0000,0.000157,6.03,2.28
ag46ct02r-il,AG46ct  -02f rot.,1000000,0.1644,6.305,1.3794,12.75,0.00426,-0.0281,0.004260,0.0000,0.000162,6.08,1.69
ag47c03-il,AG47c -03f,1000000,0.0246,6.264,1.2830,12.75,0.00587,-0.0195,0.004100,0.7500,0.000175,5.06,1.96
ag47ct02r-il,AG47ct  -02f rot.,1000000,0.1262,6.269,1.2819,12.00,0.00401,-0.0215,0.004010,0.0000,0.000198,4.99,1.30
ah21-7-il,AH21 7% version (Andrew Hollom),1000000,0.3464,5.643,1.4858,15.00,0.00426,-0.0911,0.004180,0.5000,0.000152,8.98,2.26
ah21-9-il,AH21 9% version (Andrew Hollom),1000000,0.2663,5.920,1.2920,11.25,0.00389,-0.0711,0.003760,0.7500,0.000242,7.00,1.76
ah63k127-il,AH 63-K-127/24,1000000,0.4589,5.716,1.3316,15.00,0.00656,-0.0997,0.006120,3.5000,0.000283,12.71,3.77
ah6407-il,AH-6-40-7 AIRFOIL,1000000,0.6406,6.144,1.6503,11.00,0.00684,-0.1413,0.006170,1.5000,0.000245,6.85,5.53
ah7476-il,AH-7-47-6 AIRFOIL,1000000,0.8188,5.962,1.7500,12.00,0.00749,-0.1971,0.007250,1.0000,0.000243,5.90,6.20
ah79100a-il,AH 79-100 A AIRFOIL,1000000,0.4787,5.984,1.5114,13.75,0.00562,-0.1152,0.005590,-0.5000,0.000131,10.00,3.65
ah79100b-il,AH 79-100 B AIRFOIL,1000000,0.8993,5.930,1.7706,14.00,0.00646,-0.2146,0.006440,-0.2500,0.000179,10.04,6.42
ah79100c-il,AH 79-100 C AIRFOIL,1000000,0.8852,5.113,1.6567,13.00,0.00659,-0.2156,0.005860,1.2500,0.000255,9.94,6.70
ah79k132-il,AH 79-K-132/20,1000000,0.3861,5.607,1.2622,15.00,0.00608,-0.0746,0.005970,-0.5000,0.000143,13.20,3.68
ah79k135-il,AH 79-K-135/20 B,1000000,0.3267,5.466,1.2286,15.50,0.00600,-0.0636,0.005930,-0.7500,0.000142,13.49,3.05
ah79k143-il,AH 79-K-143/18,1000000,0.3101,5.212,1.2404,17.50,0.00670,-0.0603,0.006280,-1.5000,0.000109,14.27,2.87
ah80129-il,AH 80-129,1000000,0.3774,5.992,1.1152,9.75,0.00531,-0.0583,0.005300,-0.2500,0.000191,12.86,4.06
ah80136-il,AH 80-136,1000000,0.1285,6.820,1.3208,15.50,0.00616,0.0068,0.005840,0.5000,0.000162,13.55,3.40
ah80140-il,AH 80-140,1000000,0.3532,6.740,1.5178,11.50,0.00805,-0.0447,0.006650,1.5000,0.000094,13.96,4.36
ah81131-il,AH 81-131,1000000,0.1508,7.141,1.1576,14.75,0.00574,0.0027,0.005420,-0.2500,0.000170,13.05,2.82
ah81k144-il,AH 81-K-144/17,1000000,0.4174,5.815,1.4177,18.00,0.00667,-0.0833,0.006500,-1.0000,0.000152,14.46,4.24
ah81k144wfklappe-il,AH 81-K-144 W-F KLAPPE,1000000,0.0907,5.834,1.6024,15.00,0.01214,-0.0120,0.011810,1.2500,0.000033,22.02,1.07
ah82150a-il,AH 82-150 A,1000000,0.4557,5.744,1.3153,16.25,0.00684,-0.1028,0.006110,-2.2500,0.000122,15.00,3.28
ah82150f-il,AH 82-150 F,1000000,0.4201,4.941,1.1712,14.00,0.00796,-0.0923,0.007050,-1.7500,0.000132,15.00,3.64
ah83150q-il,AH 83-150 Q,1000000,0.4081,6.385,1.4863,17.00,0.00706,-0.0652,0.006460,-0.5000,0.000102,15.00,4.13
ah83159-il,AH 83-159,1000000,0.4399,6.238,1.3297,17.25,0.00740,-0.0866,0.006140,-2.0000,0.000101,15.94,3.84
ah85l120-il,AH 85-L-120/17,1000000,-0.0085,5.185,0.8421,10.75,0.00584,0.0000,0.005500,-2.5000,0.000149,12.11,0.00
ah88k130-il,AH 88-K-130/20,1000000,0.5402,5.206,1.3608,13.75,0.00652,-0.1283,0.006110,-1.2500,0.000156,13.00,3.94
ah88k136-il,AH 88-K-136/16,1000000,0.2716,6.157,1.2072,16.75,0.00674,-0.0245,0.006290,-1.0000,0.000134,13.54,3.09
ah93156-il,AH 93-156,1000000,0.3999,5.725,1.3324,17.25,0.00668,-0.0736,0.006050,-1.5000,0.000084,15.66,3.74
ah93157-il,AH 93-157,1000000,0.4005,5.659,1.3475,17.00,0.00653,-0.0731,0.005930,-1.5000,0.000080,15.68,3.72
ah93k130-il,AH 93-K-130/15,1000000,0.2633,7.165,1.3611,17.25,0.00612,-0.0292,0.006090,-0.2500,0.000140,13.05,3.58
ah93k131-il,AH 93-K-131/15,1000000,0.2519,7.239,1.3166,16.25,0.00573,-0.0241,0.005730,0.0000,0.000146,13.10,3.61
ah93k132-il,AH 93-K-132/15,1000000,0.2523,7.047,1.3333,16.75,0.00668,-0.0244,0.006310,-0.7500,0.000120,13.23,3.52
ah93w145-il,AH 93-W-145,1000000,0.4539,6.448,1.5227,16.00,0.00681,-0.0938,0.006810,-0.2500,0.000098,14.48,3.88
ah93w174-il,AH 93-W-174,1000000,0.4408,6.480,1.5316,10.50,0.00747,-0.0899,0.007430,-0.5000,0.000049,17.43,3.93
ah93w215-il,AH 93-W-215,1000000,0.3156,5.369,1.4577,14.00,0.00782,-0.0641,0.007780,1.2500,0.000064,21.22,3.05
ah93w257-il,AH 93-W-257,1000000,0.3605,7.184,1.5791,10.75,0.00922,-0.1032,0.009170,-2.0000,0.000044,25.67,1.79
ah93w300-il,AH 93-W-300,1000000,0.3733,6.679,1.5626,15.50,0.01051,-0.0826,0.010180,-3.0000,0.000065,29.98,1.14
ah93w480b-il,AH 93-W-480B,1000000,-0.3841,8.286,1.9388,16.25,0.05415,0.1526,0.050680,11.5000,0.000028,47.84,3.36
ah94145-il,AH 94-145,1000000,0.6607,6.544,1.6952,18.00,0.00694,-0.1389,0.006840,0.5000,0.000170,14.57,5.50
ah94156-il,AH 94-156,1000000,0.3804,5.981,1.3233,18.00,0.00696,-0.0714,0.006040,-1.5000,0.000089,15.60,3.69
ah94w301-il,AH 94-W-301,1000000,0.2566,7.204,1.6492,13.50,0.01063,-0.0907,0.010540,-0.7500,0.000033,30.10,1.38
ah95160-il,AH 95-160,1000000,0.6442,6.579,1.6704,19.25,0.00732,-0.1319,0.007170,1.5000,0.000187,16.00,5.50
ames01-il,NASA/AMES A-01 AIRFOIL,1000000,0.0702,6.720,1.5134,15.25,0.00509,0.0043,0.005010,0.2500,0.000101,10.27,1.41
ames02-il,NASA/AMES A-02 AIRFOIL,1000000,-0.0003,6.465,1.4283,14.25,0.00502,0.0023,0.004600,1.0000,0.000165,7.74,0.55
ames03-il,NASA/AMES A-03 AIRFOIL,1000000,0.0369,6.809,1.4910,14.75,0.00524,0.0078,0.005150,0.7500,0.000127,10.00,1.21
amsoil1-il,RUTAN CANARD AIRFOIL,1000000,0.2276,6.263,1.6010,18.00,0.00562,-0.0507,0.005440,0.7500,0.000141,11.62,2.08
amsoil2-il,RUTAN WING AIRFOIL,1000000,0.1264,6.282,1.5394,16.00,0.00539,-0.0316,0.005380,0.5000,0.000128,11.76,0.97
apex16-il,Apex 16 (normalized using XFOIL date021206),1000000,0.4070,5.061,1.3479,15.75,0.00574,-0.0961,0.005600,1.0000,0.000165,12.92,2.66
aquilasm-il,AQUILA 9.3% smoothed,1000000,0.3979,6.152,1.4858,13.50,0.00777,-0.0641,0.004920,-3.2500,0.000058,9.38,4.05
arad10-il,ARA-D 10% AIRFOIL,1000000,0.4402,6.470,1.9156,17.00,0.00842,-0.0814,0.006730,1.2500,0.000121,10.00,3.99
arad13-il,ARA-D 13% AIRFOIL,1000000,0.3509,6.676,1.9008,17.50,0.00933,-0.0513,0.007630,1.5000,0.000109,13.00,3.61
arad20-il,ARA-D 20% AIRFOIL,1000000,0.3560,6.971,1.9138,15.50,0.00967,-0.0369,0.009670,0.0000,0.000058,20.00,3.75
arad6-il,ARA-D 6% AIRFOIL,1000000,0.6070,6.137,1.7505,13.75,0.00689,-0.1354,0.005450,1.2500,0.000190,6.02,5.01
as5045-il,AS5045 (15%),1000000,0.2441,6.576,1.5918,16.25,0.00732,-0.0536,0.006870,-3.2500,0.000056,15.00,1.02
as5046-il,AS5046 (16%),1000000,0.2568,6.487,1.5660,16.25,0.00737,-0.0554,0.006860,-3.5000,0.000051,16.00,1.08
as5048-il,AS5048 (18%),1000000,0.2722,6.229,1.4795,18.00,0.00773,-0.0590,0.007230,-4.0000,0.000044,17.98,1.20
atr72sm-il,Smoothed ATR airfoil coordinates obtained  using AFSMO (Harry Morgan's NASA smoothing program),1000000,0.2162,6.478,1.6845,17.25,0.00761,-0.0207,0.007400,1.0000,0.000066,14.53,2.87
august160-il,AUGUST 160,1000000,0.3968,6.770,1.8359,15.00,0.00987,-0.0317,0.007880,1.2500,0.000070,16.04,5.39
avistar-il,AVISTAR,1000000,0.1922,6.503,1.3506,16.50,0.00866,-0.0338,0.006250,2.2500,0.000261,14.52,2.19
b29root-il,B-29 ROOT AIRFOIL,1000000,0.0852,5.291,1.3191,12.25,0.00777,-0.0051,0.007610,2.0000,0.000080,21.98,1.74
b29tip-il,B-29 TIP AIRFOIL,1000000,0.1343,6.642,1.1718,12.75,0.00487,0.0017,0.004870,0.0000,0.000165,9.00,2.23
b540ols-il,BELL 540 AIRFOIL (MODIFIED NACA 0012),1000000,-0.0001,6.495,1.4498,14.50,0.00693,0.0000,0.006120,-2.2500,0.000064,9.71,0.00
b707a-il,BOEING 707 .08 SPAN AIRFOIL,1000000,-0.0477,6.199,1.1825,13.00,0.00860,0.0107,0.008350,0.7500,0.000110,11.43,1.30
b707b-il,BOEING 707 .19 SPAN AIRFOIL,1000000,-0.0614,6.022,1.1456,14.50,0.00984,0.0285,0.007930,0.7500,0.000106,12.14,0.74
b707c-il,BOEING 707 .40 SPAN AIRFOIL,1000000,0.1924,5.946,1.2173,11.50,0.01052,-0.0281,0.009030,3.5000,0.000219,9.58,1.90
b707d-il,BOEING 707 .54 SPAN AIRFOIL,1000000,0.2368,5.827,1.1439,10.25,0.00719,-0.0394,0.004800,1.0000,0.000319,8.97,2.00
b707e-il,BOEING 707 .99 SPAN AIRFOIL,1000000,0.2237,5.827,1.1284,10.50,0.00761,-0.0422,0.007480,0.5000,0.000211,9.01,1.78
b737a-il,BOEING 737 ROOT AIRFOIL,1000000,0.1379,6.380,1.5237,14.75,0.01018,-0.0025,0.009560,3.0000,0.000094,15.37,1.92
b737b-il,BOEING 737 MIDSPAN AIRFOIL,1000000,0.1340,6.425,1.5710,15.50,0.00627,-0.0088,0.006160,-1.2500,0.000064,12.55,1.55
b737c-il,BOEING 737 MIDSPAN AIRFOIL,1000000,0.1358,6.218,1.3107,13.25,0.00812,-0.0184,0.005570,1.7500,0.000184,10.00,1.45
b737d-il,BOEING 737 OUTBOARD AIRFOIL,1000000,0.1550,6.188,1.3518,13.75,0.00536,-0.0217,0.005220,1.5000,0.000177,10.80,1.57
bacj-il,BOEING AIRFOIL J (no closed TE),1000000,0.1527,5.099,1.1263,11.00,0.00509,-0.0719,0.004990,0.5000,0.000292,10.07,1.73
bacnlf-il,BOEING HSNLF AIRFOIL,1000000,0.2258,5.473,0.8901,7.25,0.00538,-0.0725,0.005010,1.5000,0.000698,10.08,1.40
bacxxx-il,BOEING BACXXX AIRFOIL,1000000,0.2168,5.933,1.4116,13.75,0.00494,-0.0435,0.004940,0.0000,0.000108,11.31,1.40
bambino6-il,Bambino 6,1000000,0.1566,4.423,1.4462,14.25,0.01110,-0.0248,0.009200,-1.7500,0.000107,12.00,6.00
be50-il,BE50 (original),1000000,0.5508,6.079,1.5017,11.00,0.00629,-0.1054,0.005430,0.5000,0.000265,7.27,4.81
be50sm-il,BE50 (smoothed),1000000,0.4885,6.171,1.5994,12.00,0.00582,-0.1079,0.005130,0.7500,0.000178,7.32,3.96
boe103-il,BOEING 103 AIRFOIL,1000000,0.4162,5.946,1.5725,15.75,0.00614,-0.0782,0.005770,1.0000,0.000131,12.72,3.60
boe106-il,BOEING 106 AIRFOIL,1000000,0.3437,6.391,1.5384,15.50,0.00572,-0.0585,0.005560,0.5000,0.000107,13.06,3.34
bqm34-il,RYAN BQM-34 FIREBEE WING AIRFOIL,1000000,0.0053,6.367,1.2109,13.50,0.00495,0.0000,0.004950,-0.2500,0.000120,9.90,0.00
bw3-il,Bergey BW-3  (smoothed),1000000,0.5667,6.040,1.7530,14.25,0.00816,-0.1320,0.007410,-2.2500,0.000111,5.02,5.79
c141a-il,LOCKHEED C-141 BL0 AIRFOIL,1000000,0.1671,5.806,1.3995,16.50,0.00509,-0.0441,0.004890,1.0000,0.000144,12.99,1.09
c141b-il,LOCKHEED C-141 BL113.6 AIRFOIL,1000000,0.1721,5.886,1.3871,15.50,0.00498,-0.0443,0.004780,1.0000,0.000146,12.64,1.12
c141c-il,LOCKHEED C-141 BL426.57 AIRFOIL,1000000,0.1913,6.043,1.3802,14.75,0.00457,-0.0452,0.004460,0.5000,0.000146,10.99,1.32
c141d-il,LOCKHEED C-141 BL610.61 AIRFOIL,1000000,0.2280,5.975,1.4597,15.50,0.00455,-0.0524,0.004480,0.5000,0.000137,10.77,1.54
c141e-il,LOCKHEED C-141 BL761.11 AIRFOIL,1000000,0.2658,5.881,1.4756,16.25,0.00465,-0.0604,0.004490,0.5000,0.000149,10.51,1.80
c141f-il,LOCKHEED C-141 BL958.89 AIRFOIL,1000000,0.3314,5.796,1.5976,16.25,0.00687,-0.0763,0.005080,1.2500,0.000149,10.00,2.32
c5a-il,LOCKHEED C-5A BL0 AIRFOIL,1000000,0.1313,5.761,1.4398,16.50,0.00503,-0.0463,0.005030,0.0000,0.000115,13.12,0.73
c5b-il,LOCKHEED C-5A BL488.2 AIRFOIL,1000000,0.2071,5.678,1.5039,16.50,0.00481,-0.0610,0.004750,0.5000,0.000130,11.55,1.22
c5c-il,LOCKHEED C-5A BL576 AIRFOIL,1000000,0.2247,5.740,1.5317,16.50,0.00471,-0.0630,0.004630,1.0000,0.000149,11.10,1.40
c5d-il,LOCKHEED C-5A BL758.6 AIRFOIL,1000000,0.2247,5.746,1.5107,16.00,0.00470,-0.0614,0.004690,0.2500,0.000127,11.05,1.35
c5e-il,LOCKHEED C-5A BL1256 AIRFOIL,1000000,0.1909,6.140,1.5856,16.00,0.00686,-0.0436,0.005680,0.5000,0.000123,10.78,1.43
cap21c-il,CAP 21   (TraCFoil),1000000,0.0976,6.520,1.7332,15.50,0.01030,-0.0185,0.009620,6.0000,0.000024,15.57,0.62
cast102-il,CAST 10-2/DOA 2 AIRFOIL,1000000,0.2707,5.907,1.4233,14.75,0.00557,-0.0653,0.005480,1.2500,0.000176,12.18,1.54
ch10sm-il,CH10 (smoothed),1000000,1.2242,5.709,2.0542,10.50,0.00896,-0.2802,0.008710,2.7500,0.000227,12.84,10.20
chen-il,CHEN AIRFOIL,1000000,0.4306,4.920,2.0350,14.75,0.01703,-0.0282,0.017030,0.0000,0.000093,12.47,7.77
clarkk-il,CLARK K AIRFOIL,1000000,0.3888,6.050,1.5226,15.50,0.00829,-0.0834,0.006500,3.5000,0.000204,11.70,3.26
clarkv-il,CLARK V AIRFOIL,1000000,0.4355,5.798,1.5006,15.75,0.00497,-0.0980,0.004840,0.5000,0.000143,11.64,3.43
clarkw-il,CLARK W AIRFOIL,1000000,0.3955,6.090,1.5775,15.50,0.00664,-0.0826,0.005740,1.7500,0.000151,11.22,3.76
clarkx-il,CLARK X AIRFOIL,1000000,0.3769,6.146,1.4944,15.25,0.00622,-0.0821,0.005260,1.0000,0.000153,11.70,3.30
clarky-il,CLARK Y AIRFOIL,1000000,0.3941,6.165,1.5240,14.75,0.00645,-0.0826,0.005380,1.0000,0.000142,11.71,3.43
clarkyh-il,CLARK YH AIRFOIL,1000000,0.2894,6.649,1.3825,14.25,0.00804,-0.0168,0.006320,1.5000,0.000177,11.90,5.95
clarkys-il,CLARK YS AIRFOIL,1000000,0.0335,5.890,1.2662,13.00,0.00688,0.0239,0.005360,0.5000,0.000108,11.70,2.35
clarkysm-il,CLARK-Y 11.7% smoothed,1000000,0.4178,6.110,1.5741,16.50,0.00588,-0.0779,0.005300,0.7500,0.000119,11.72,3.55
clarkz-il,CLARK Z AIRFOIL,1000000,0.4450,6.117,1.6455,15.50,0.00741,-0.0876,0.005660,1.2500,0.000131,11.75,4.06
clarym15-il,CLARK YM-15 AIRFOIL,1000000,0.4004,6.141,1.6511,16.00,0.00681,-0.0794,0.006270,1.0000,0.000105,15.00,3.56
clarym18-il,CLARK YM-18 AIRFOIL,1000000,0.3865,5.879,1.6159,17.50,0.00769,-0.0764,0.007200,1.2500,0.000100,17.99,3.56
coanda1-il,Coanda 1,1000000,0.2471,5.707,0.8832,5.75,0.00836,-0.0417,0.007390,-2.5000,0.000098,5.65,4.17
coanda2-il,Coanda 2,1000000,0.3073,5.790,1.1780,9.00,0.00826,-0.0468,0.007700,-3.5000,0.000255,6.00,4.30
coanda3-il,Coanda 3,1000000,0.3657,5.821,1.0667,9.25,0.00679,-0.0568,0.005740,1.5000,0.000432,7.00,4.20
cootie-il,WACO COOTIE AIRFOIL,1000000,0.6040,6.034,1.5269,13.75,0.00790,-0.1088,0.006680,2.7500,0.000321,8.46,6.28
cp-060-050-gn,Cambered plate C=6% T=5% R=2.11,1000000,0.1567,4.334,1.4298,17.25,0.02824,-0.0992,0.015730,3.7500,0.000380,10.80,4.19
cp-080-050-gn,Cambered plate C=8% T=5% R=1.6,1000000,0.4050,3.888,1.5270,14.75,0.03242,-0.1354,0.017750,5.0000,0.000258,8.36,3.99
cp-100-050-gn,Cambered plate C=10% T=5% R=1.3,1000000,0.6105,3.513,1.6447,14.00,0.02659,-0.2003,0.019660,4.5000,0.000400,6.95,6.74
cp-120-050-gn,Cambered plate C=12% T=5% R=1.1,1000000,0.7891,3.151,1.8590,14.25,0.02821,-0.2318,0.022560,1.2500,0.000217,6.08,9.24
cp-140-050-gn,Cambered plate C=14% T=5% R=0.96,1000000,0.8992,3.297,1.9264,13.50,0.02890,-0.2583,0.023730,2.7500,0.000516,5.50,11.59
cp-160-050-gn,Cambered plate C=16% T=5% R=0.86,1000000,0.9720,3.778,1.9956,17.00,0.03210,-0.2670,0.023590,2.5000,0.000732,5.12,13.84
cp-180-050-gn,Cambered plate C=18% T=5% R=0.78,1000000,0.9816,4.122,1.6851,12.75,0.03703,-0.2613,0.026850,2.5000,0.000917,4.88,16.03
cr001sm-il,cr001sm,1000000,0.5185,5.731,1.5168,13.50,0.00526,-0.1173,0.004420,0.5000,0.000170,7.33,4.06
cr1-il,CURTISS CR-1 AIRFOIL,1000000,0.4707,6.192,1.5138,15.25,0.00757,-0.0927,0.007150,3.0000,0.000132,12.21,4.71
curtisc72-il,Curtis C-72,1000000,0.6710,5.919,1.6280,13.00,0.00583,-0.0986,0.005830,0.0000,0.000174,11.73,5.87
dae11-il,DAE-11 AIRFOIL,1000000,0.6600,6.460,1.6563,17.25,0.00773,-0.1277,0.006100,1.2500,0.000141,12.83,6.62
dae21-il,DAE-21 AIRFOIL,1000000,0.6722,6.378,1.7260,17.50,0.00787,-0.1332,0.005830,1.5000,0.000162,11.78,6.57
dae31-il,DAE-31 AIRFOIL,1000000,0.7364,6.029,1.7813,16.75,0.00742,-0.1559,0.005670,1.7500,0.000180,11.06,6.75
dae51-il,DAE-51 AIRFOIL,1000000,0.4705,6.251,1.5959,14.50,0.00537,-0.1034,0.004710,0.5000,0.000160,9.38,4.03
davis-corrected-il,DAVIS BASIC B-24 WING AIRFOIL,1000000,0.1640,6.767,1.3311,14.50,0.00683,-0.0140,0.006620,1.7500,0.000100,15.90,2.48
davis-il,Davis AIRFOIL,1000000,0.4180,5.811,1.3284,14.00,0.00613,-0.0874,0.005350,0.7500,0.000171,11.25,3.69
davissm-il,davissm,1000000,0.6937,5.911,1.6411,12.25,0.00768,-0.1633,0.004070,-2.7500,0.000130,5.87,5.91
daytonwright6-il,Dayton-Wright 6,1000000,0.6343,6.174,1.4288,9.00,0.00819,-0.0695,0.007730,0.5000,0.000167,13.60,7.17
daytonwrightt1-il,Dayton-Wright T-1,1000000,0.6684,5.657,1.5631,13.25,0.00775,-0.0898,0.006830,0.2500,0.000154,13.37,7.06
dbln526-il,SIKORSKY DBLN-526 AIRFOIL,1000000,0.3834,5.170,1.3909,19.00,0.01206,-0.0961,0.011720,-1.0000,0.000179,25.99,3.99
defcnd1-il,DEFIANT CANARD BL20 AIRFOIL,1000000,0.3924,6.627,1.6046,16.25,0.00864,-0.0611,0.008330,4.2500,0.000077,20.92,4.46
defcnd2-il,DEFIANT CANARD BL110 AIRFOIL,1000000,0.3465,6.435,1.3749,10.75,0.00696,-0.0508,0.006890,-0.5000,0.000068,14.73,3.81
defcnd3-il,DEFIANT CANARD BL145 AIRFOIL,1000000,0.2827,6.298,1.5521,16.50,0.00611,-0.0390,0.005910,1.0000,0.000112,11.48,2.38
df101-il,DF 101 AIRFOIL,1000000,0.2598,6.247,1.3825,13.75,0.00557,-0.0506,0.005050,1.0000,0.000133,11.00,2.31
df102-il,DF102,1000000,0.2605,6.183,1.4775,15.25,0.00569,-0.0487,0.005170,1.0000,0.000111,11.00,2.31
dfvlrr4-il,DFVLR R-4 AIRFOIL,1000000,0.4344,6.130,1.7671,16.75,0.00581,-0.1174,0.005550,-1.5000,0.000104,13.38,2.10
dga1138-il,D.G.A. 1138,1000000,0.3473,5.920,1.2586,10.50,0.00719,-0.0545,0.005890,0.5000,0.000320,6.90,4.05
dga1182-il,D.G.A. 1182,1000000,0.0091,6.320,1.1442,11.25,0.01065,0.0013,0.010240,2.7500,0.000272,7.60,0.95
dh4009sm-il,dh4009sm,1000000,0.0367,5.739,0.7723,8.75,0.00457,-0.0153,0.004460,-1.0000,0.000432,8.95,0.20
doa5-il,DORNIER A-5 AIRFOIL,1000000,0.3861,4.553,1.5005,18.50,0.00588,-0.1038,0.005870,-1.7500,0.000086,16.21,2.54
dormoy-il,Dormoy,1000000,0.4240,5.350,1.0843,8.00,0.00769,-0.0547,0.006650,-0.7500,0.000451,9.00,4.53
drgnfly-il,DRAGONFLY CANARD,1000000,0.6030,7.030,1.6916,11.75,0.00870,-0.0949,0.008030,1.2500,0.000061,19.34,6.56
dsma523a-il,DSMA-523A AIRFOIL,1000000,0.3327,6.805,1.6871,14.75,0.00813,-0.1186,0.004900,-0.7500,0.000158,11.00,2.30
dsma523b-il,DSMA-523B AIRFOIL,1000000,0.4814,6.861,1.7815,14.75,0.01069,-0.1431,0.005850,-1.2500,0.000158,11.00,2.04
du06-w-200-dt,DU 06-W-200  VAWT airfoil,1000000,0.1003,6.848,1.5849,15.75,0.00767,-0.0175,0.007170,-1.7500,0.000050,19.78,0.63
du84132v-il,DELFT DU84-132V3 AIRFOIL (MEASURED),1000000,0.4620,5.596,1.5673,16.25,0.00636,-0.1057,0.006360,0.0000,0.000115,13.63,3.05
du8608418-il,DU86-084/18 8.44%,1000000,0.0893,5.754,1.0816,10.50,0.00594,-0.0146,0.005100,2.2500,0.000318,8.45,1.12
du861372-il,DU 86-137/25 AIRFOIL,1000000,0.0339,5.885,1.2708,16.25,0.01440,-0.0022,0.007770,0.2500,0.000117,13.63,0.29
e1098-il,EPPLER 1098 AIRFOIL,1000000,0.5221,6.507,1.4205,17.25,0.00830,-0.1202,0.007620,-4.0000,0.000058,18.94,3.73
