slug,name,re,cl_0,cl_alpha_2d,cl_max,alpha_stall,cd_0,cm_ac,cd_min,alpha_minD_deg,k_drag,thickness_pct,camber_pct
a18-il,A18 (original),1000000,0.5869,5.902,1.5052,10.75,0.00618,-0.1188,0.005330,0.5000,0.000296,7.34,5.04
a18sm-il,A18 (smoothed),1000000,0.4941,6.030,1.5371,12.75,0.00582,-0.1202,0.004840,1.0000,0.000232,7.28,3.84
a63a108c-il,NASA/AMES 63A108 MOD C AIRFOIL,1000000,-0.0013,6.469,1.4171,14.00,0.00501,0.0025,0.004600,1.0000,0.000167,7.74,0.55
ag03-il,AG03 (flat aft bottom),1000000,0.2024,6.198,1.3785,12.25,0.00405,-0.0346,0.004000,-0.2500,0.000144,6.24,2.02
ag04-il,AG04,1000000,0.1813,6.284,1.3072,11.25,0.00447,-0.0355,0.004150,0.2500,0.000199,6.42,1.75
ag08-il,AG08,1000000,0.1864,6.279,1.2103,10.50,0.00410,-0.0378,0.003970,0.2500,0.000299,5.83,1.80
ag09-il,AG09,1000000,0.1734,6.261,1.1842,10.00,0.00535,-0.0326,0.004150,0.5000,0.000390,4.86,1.86
ag10-il,AG10,1000000,0.1583,6.305,1.2365,11.00,0.00573,-0.0293,0.004370,0.2500,0.000263,4.73,1.71
ag11-il,AG11,1000000,0.2160,6.315,1.5705,14.00,0.00659,-0.0344,0.004460,0.5000,0.000137,5.81,2.29
ag12-il,AG12,1000000,0.2151,6.298,1.2782,10.50,0.00484,-0.0466,0.004330,0.5000,0.000260,6.24,1.85
ag13-il,AG13,1000000,0.2263,6.294,1.2732,10.75,0.00455,-0.0487,0.004090,0.2500,0.000279,5.83,1.97
ag14-il,AG14,1000000,0.2355,6.296,1.2704,10.50,0.00398,-0.0485,0.003980,0.0000,0.000290,5.37,2.10
ag16-il,AG16,1000000,0.2309,6.279,1.3017,10.50,0.00514,-0.0516,0.004630,0.7500,0.000264,7.11,1.87
ag17-il,AG17,1000000,0.2408,6.278,1.2965,11.00,0.00486,-0.0527,0.004400,0.7500,0.000280,6.49,2.02
ag18-il,AG18,1000000,0.2502,6.281,1.2969,10.75,0.00450,-0.0537,0.004010,0.2500,0.000273,5.87,2.16
ag19-il,AG19,1000000,0.2574,6.277,1.2974,10.75,0.00411,-0.0538,0.003950,0.2500,0.000286,5.40,2.27
ag24-il,AG24 Bubble Dancer DLG by Mark Drela,1000000,0.2932,6.237,1.4195,11.75,0.00492,-0.0650,0.004790,1.2500,0.000214,8.41,2.22
ag25-il,AG25 Bubble Dancer DLG by Mark Drela,1000000,0.3076,6.210,1.3729,11.25,0.00481,-0.0670,0.004470,0.7500,0.000227,7.58,2.40
ag26-il,AG26 Bubble Dancer DLG by Mark Drela,1000000,0.3093,6.211,1.3875,11.25,0.00478,-0.0660,0.004310,0.5000,0.000213,6.84,2.55
ag27-il,AG27 Bubble Dancer DLG by Mark Drela,1000000,0.3098,6.215,1.4272,11.50,0.00492,-0.0651,0.004140,0.2500,0.000182,6.11,2.70
ag35-il,AG35,1000000,0.4166,6.208,1.4513,12.00,0.00546,-0.0461,0.005000,-1.5000,0.000139,8.72,4.37
ag36-il,AG36,1000000,0.3932,6.175,1.4014,11.25,0.00533,-0.0449,0.004840,-1.5000,0.000155,8.18,4.09
ag37-il,AG37,1000000,0.3761,6.192,1.5161,12.25,0.00531,-0.0446,0.004770,-1.5000,0.000124,7.74,3.88
