alpha,beta,Fx,Fy,Fz,Mx,My,Mz,status,stage,score,wall_seconds,timestamp,case_dir,study_macro_file,macro_file,output_file,data_file,stdout_file,force_plot,completion_file,run_script,console_log,n_average,n_samples
-19.276,18.388,-20.743,-43.9601,409.3504,115.3739,-189.8314,-25.8704,ok,doe,,1660.4766035079956,1778993328.430644,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\run_console.log,1.0,1.0
-18.118,-2.118,-27.0595,4.7835,385.3264,-7.2556,-153.9462,1.8146,ok,doe_mirror,,1689.3660938739777,1779004979.317489,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\run_console.log,1.0,1.0
-18.118,2.118,-27.0595,-4.7835,385.3264,7.2556,-153.9462,-1.8146,ok,doe,,1689.3660938739777,1779004979.317489,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0078_doe_a-18.118_b+02.118\run_console.log,1.0,1.0
-16.522,-28.492,-8.9442,68.3334,364.9128,-115.9978,-184.8542,32.9878,ok,doe_mirror,,1681.0336668491364,1778998359.9131036,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\run_console.log,1.0,1.0
-16.522,28.492,-8.9442,-68.3334,364.9128,115.9978,-184.8542,-32.9878,ok,doe,,1681.0336668491364,1778998359.9131036,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0074_doe_a-16.522_b+28.492\run_console.log,1.0,1.0
-15.432,-13.573,-19.2711,30.7158,332.3989,-62.2871,-155.9313,16.5312,ok,doe_mirror,,1779.9618768692017,1778983274.675683,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\run_console.log,1.0,1.0
-15.432,13.573,-19.2711,-30.7158,332.3989,62.2871,-155.9313,-16.5312,ok,doe,,1779.9618768692017,1778983274.675683,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0065_doe_a-15.432_b+13.573\run_console.log,1.0,1.0
-13.815,-9.422,-14.3574,26.4216,316.044,-34.7982,-140.4892,9.279,ok,doe_mirror,,1645.38041639328,1778962733.168847,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\run_console.log,1.0,1.0
-13.815,9.422,-14.3574,-26.4216,316.044,34.7982,-140.4892,-9.279,ok,doe,,1645.38041639328,1778962733.168847,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0056_doe_a-13.815_b+09.422\run_console.log,1.0,1.0
-10.0,-30.0,5.4691,74.7678,223.2486,-21.7826,-128.6984,19.1736,ok,anchor_mirror,,1754.5854210853577,1778863444.58395,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0010_anchor_a-10.000_b+30.000\run_console.log,1.0,1.0
