alpha,beta,Fx,Fy,Fz,Mx,My,Mz,status,stage,score,wall_seconds,timestamp,case_dir,study_macro_file,macro_file,output_file,data_file,stdout_file,force_plot,completion_file,run_script,console_log,n_average,n_samples
-90.0,20.0,114.2672,-25.134,853.2656,200.9307,-257.2397,-22.4437,ok,anchor,,160.20149731636047,1779062142.4420643,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\run_console.log,1.0,1.0
-90.0,30.0,114.7945,-51.662,855.0428,265.5126,-275.4953,-38.0246,ok,anchor,,160.2301115989685,1779062302.7093809,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\run_console.log,1.0,1.0
-90.0,45.0,95.0385,-90.6037,775.2965,327.1704,-277.0785,-64.953,ok,anchor,,160.1505868434906,1779062462.8854132,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\run_console.log,1.0,1.0
-90.0,60.0,75.7145,-125.3003,595.0034,281.8423,-218.429,-87.1038,ok,anchor,,164.15364909172058,1779062627.0636451,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\run_console.log,1.0,1.0
-90.0,90.0,8.7625,-105.3064,-37.3158,-3.6727,-14.0743,-2.6213,ok,anchor,,160.17673349380493,1779062787.2668188,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\run_console.log,1.0,1.0
-89.984,-50.216,89.7984,103.9245,732.3519,-320.6066,-264.8948,76.8071,ok,infill_mirror,1.247571934342525,180.1152994632721,1779115176.5180483,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\run_console.log,1.0,1.0
-89.984,50.216,89.7984,-103.9245,732.3519,320.6066,-264.8948,-76.8071,ok,infill,1.247571934342525,180.1152994632721,1779115176.5180483,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0280_infill_a-89.984_b+50.216\run_console.log,1.0,1.0
-89.946,-84.426,17.3282,109.7639,40.3022,-34.2094,-18.98,13.0063,ok,infill_mirror,0.0334287892484499,160.25157833099365,1779303324.9194243,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\run_console.log,1.0,1.0
-89.946,84.426,17.3282,-109.7639,40.3022,34.2094,-18.98,-13.0063,ok,infill,0.0334287892484499,160.25157833099365,1779303324.9194243,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0618_infill_a-89.946_b+84.426\run_console.log,1.0,1.0
-89.937,-77.358,33.4008,119.8617,203.4927,-119.225,-69.5938,40.7558,ok,infill_mirror,0.862004381237579,170.2969913482666,1779250335.669854,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0466_infill_a-89.937_b+77.358\run_console.log,1.0,1.0
