case,x_ref_m,subsystem,mode,eigenvalue_text,natural_frequency_rad_s,damping_ratio,time_constant_s,classification
case_m5,-0.05,longitudinal,short_period,-4.45504+5.15473j; -4.45504-5.15473j,6.813123802159623,0.6538909382895283,0.22446487998482176,stable
case_m5,-0.05,lateral-directional,dutch_roll_like_lateral_directional,No clearly identifiable Dutch-roll-like lateral-directional oscillatory mode was found in this linearization.,nan,nan,nan,not identified
case_m5,-0.05,lateral-directional,roll,-30.2267+0j,30.226666579906336,1.0,0.033083370187593435,stable
case_m5,-0.05,lateral-directional,spiral,-0.00364264+0j,0.003642635925164415,1.0,274.526474933084,stable
case_m5,-0.05,lateral-directional,lateral_residual_1,-6.95406+0j,6.954059267927466,1.0,0.14380090267738432,stable
case_m5,-0.05,lateral-directional,lateral_residual_2,-1.84346+0j,1.843460819993,1.0,0.54245796230364,stable
case_0,-0.0,longitudinal,phugoid,-0.0253188+0.540732j; -0.0253188-0.540732j,0.5413249043209475,0.046771950368917195,39.4963090085005,stable
case_0,-0.0,longitudinal,short_period,-4.45612+7.50931j; -4.45612-7.50931j,8.731942130570907,0.510324189376821,0.22441040874791407,stable
case_0,-0.0,lateral-directional,dutch_roll_like_lateral_directional,No clearly identifiable Dutch-roll-like lateral-directional oscillatory mode was found in this linearization.,nan,nan,nan,not identified
case_0,-0.0,lateral-directional,roll,-30.2252+0j,30.22523090973961,1.0,0.03308494161669963,stable
case_0,-0.0,lateral-directional,spiral,-0.00285347+0j,0.002853471572555638,1.0,350.4503109888618,stable
case_0,-0.0,lateral-directional,lateral_residual_1,-6.4729+0j,6.472897646314015,1.0,0.1544903155651548,stable
case_0,-0.0,lateral-directional,lateral_residual_2,-2.32827+0j,2.328274094636549,1.0,0.42950269571079136,stable
