case,metadata_center_x,max_force_N_error,max_moment_Nm_error,max_force_coeff_error
nominal,-0.15,0.0,0.0,0.0
case_m10,-0.1,0.0,5.000000004429239e-05,0.00010000000000021103
case_m8,-0.08,0.0,5.000000004429239e-05,0.00010000000000021103
case_m65,-0.065,0.0,5.000000004429239e-05,0.00010000000000021103
case_m6,-0.06,0.0,5.000000004429239e-05,0.00010000000000021103
case_m5p5,-0.055,0.0,5.000000004429239e-05,0.00010000000000021103
case_m5,-0.05,0.0,5.000000004429239e-05,0.00010000000000021103
case_0,-0.0,0.0,5.000000004429239e-05,0.00010000000000021103
